scale_factor,center_delta,correlation_strength
5.131835937500000000e-01,-9.960937500000000000e-01,9.063964843749999778e-01
4.960449218750000000e+00,-9.960937500000000000e-01,9.063964843749999778e-01
5.131835937500000000e-01,-1.679687500000000000e-01,9.063964843749999778e-01
5.131835937500000000e-01,-9.960937500000000000e-01,5.371582031249999556e-01
4.960449218750000000e+00,-1.679687500000000000e-01,5.371582031249999556e-01
2.763183593750000000e+00,1.003906250000000000e+00,4.313964843750000000e-01
2.710449218750000000e+00,1.003906250000000000e+00,4.313964843750000000e-01
2.763183593750000000e+00,1.832031250000000000e+00,4.313964843750000000e-01
2.763183593750000000e+00,1.003906250000000000e+00,6.215820312499999861e-02
2.710449218750000000e+00,1.832031250000000000e+00,6.215820312499999861e-02
3.888183593750000000e+00,-1.996093750000000000e+00,6.688964843749999334e-01
3.835449218750000000e+00,-1.996093750000000000e+00,6.688964843749999334e-01
3.888183593750000000e+00,8.320312500000000000e-01,6.688964843749999334e-01
3.888183593750000000e+00,-1.996093750000000000e+00,2.996582031249999667e-01
3.835449218750000000e+00,8.320312500000000000e-01,2.996582031249999667e-01
1.638183593750000000e+00,3.906250000000000000e-03,1.938964843749999833e-01
1.585449218750000000e+00,3.906250000000000000e-03,1.938964843749999833e-01
1.638183593750000000e+00,-1.167968750000000000e+00,1.938964843749999833e-01
1.638183593750000000e+00,3.906250000000000000e-03,7.746582031250000000e-01
1.585449218750000000e+00,-1.167968750000000000e+00,7.746582031250000000e-01
2.200683593750000000e+00,-1.496093750000000000e+00,3.126464843749999778e-01
1.022949218750000000e+00,-1.496093750000000000e+00,3.126464843749999778e-01
2.200683593750000000e+00,-1.667968750000000000e+00,3.126464843749999778e-01
2.200683593750000000e+00,-1.496093750000000000e+00,6.559082031249999778e-01
1.022949218750000000e+00,-1.667968750000000000e+00,6.559082031249999778e-01
4.450683593750000000e+00,5.039062500000000000e-01,7.876464843749999556e-01
3.272949218750000000e+00,5.039062500000000000e-01,7.876464843749999556e-01
4.450683593750000000e+00,3.320312500000000000e-01,7.876464843749999556e-01
4.450683593750000000e+00,5.039062500000000000e-01,1.809082031250000000e-01
3.272949218750000000e+00,3.320312500000000000e-01,1.809082031250000000e-01
3.325683593750000000e+00,-4.960937500000000000e-01,7.514648437500000278e-02
2.147949218750000000e+00,-4.960937500000000000e-01,7.514648437500000278e-02
3.325683593750000000e+00,1.332031250000000000e+00,7.514648437500000278e-02
3.325683593750000000e+00,-4.960937500000000000e-01,4.184082031249999889e-01
