scale_factor,center_delta,correlation_strength
1.021240234375000028e-01,-3.725585937500000000e-01,6.974243164062500222e-01
2.265795898437500178e+00,-3.725585937500000000e-01,6.974243164062500222e-01
1.021240234375000028e-01,-3.608398437500000000e-01,6.974243164062500222e-01
1.021240234375000028e-01,-3.725585937500000000e-01,6.988159179687499778e-01
2.265795898437500178e+00,-3.608398437500000000e-01,6.988159179687499778e-01
1.552124023437500000e+00,6.274414062500000000e-01,2.224243164062499889e-01
8.157958984375000000e-01,6.274414062500000000e-01,2.224243164062499889e-01
1.552124023437500000e+00,6.391601562500000000e-01,2.224243164062499889e-01
1.552124023437500000e+00,6.274414062500000000e-01,2.238159179687500000e-01
8.157958984375000000e-01,6.391601562500000000e-01,2.238159179687500000e-01
2.277124023437500089e+00,-8.725585937500000000e-01,9.349243164062499556e-01
2.990795898437499822e+00,-8.725585937500000000e-01,9.349243164062499556e-01
2.277124023437500089e+00,1.391601562500000000e-01,9.349243164062499556e-01
2.277124023437500089e+00,-8.725585937500000000e-01,4.613159179687499889e-01
2.990795898437499822e+00,1.391601562500000000e-01,4.613159179687499889e-01
8.271240234374999112e-01,1.274414062500000000e-01,4.599243164062499778e-01
1.540795898437500089e+00,1.274414062500000000e-01,4.599243164062499778e-01
8.271240234374999112e-01,-8.608398437500000000e-01,4.599243164062499778e-01
8.271240234374999112e-01,1.274414062500000000e-01,9.363159179687499112e-01
1.540795898437500089e+00,-8.608398437500000000e-01,9.363159179687499112e-01
1.189624023437499956e+00,-6.225585937500000000e-01,1.036743164062499944e-01
1.178295898437500044e+00,-6.225585937500000000e-01,1.036743164062499944e-01
1.189624023437499956e+00,-6.108398437500000000e-01,1.036743164062499944e-01
1.189624023437499956e+00,-6.225585937500000000e-01,5.800659179687499556e-01
1.178295898437500044e+00,-6.108398437500000000e-01,5.800659179687499556e-01
2.639624023437499911e+00,3.774414062500000000e-01,5.786743164062500000e-01
2.628295898437500000e+00,3.774414062500000000e-01,5.786743164062500000e-01
2.639624023437499911e+00,3.891601562500000000e-01,5.786743164062500000e-01
2.639624023437499911e+00,3.774414062500000000e-01,1.050659179687499917e-01
2.628295898437500000e+00,3.891601562500000000e-01,1.050659179687499917e-01
1.914624023437500044e+00,-1.225585937500000000e-01,3.411743164062500111e-01
4.532958984374999556e-01,-1.225585937500000000e-01,3.411743164062500111e-01
1.914624023437500044e+00,8.891601562500000000e-01,3.411743164062500111e-01
1.914624023437500044e+00,-1.225585937500000000e-01,3.425659179687499667e-01
4.532958984374999556e-01,8.891601562500000000e-01,3.425659179687499667e-01
4.646240234374999778e-01,8.774414062500000000e-01,8.161743164062499334e-01
1.903295898437500133e+00,8.774414062500000000e-01,8.161743164062499334e-01
4.646240234374999778e-01,-1.108398437500000000e-01,8.161743164062499334e-01
4.646240234374999778e-01,8.774414062500000000e-01,8.175659179687500000e-01
1.903295898437500133e+00,-1.108398437500000000e-01,8.175659179687500000e-01
6.458740234375000000e-01,-9.975585937500000000e-01,2.817993164062500000e-01
2.447045898437500089e+00,-9.975585937500000000e-01,2.817993164062500000e-01
6.458740234375000000e-01,5.141601562500000000e-01,2.817993164062500000e-01
6.458740234375000000e-01,-9.975585937500000000e-01,8.769409179687499556e-01
2.447045898437500089e+00,5.141601562500000000e-01,8.769409179687499556e-01
2.095874023437499734e+00,2.441406250000000000e-03,7.567993164062499778e-01
9.970458984374999112e-01,2.441406250000000000e-03,7.567993164062499778e-01
2.095874023437499734e+00,-4.858398437500000000e-01,7.567993164062499778e-01
2.095874023437499734e+00,2.441406250000000000e-03,4.019409179687499778e-01
9.970458984374999112e-01,-4.858398437500000000e-01,4.019409179687499778e-01
2.820874023437499822e+00,-4.975585937500000000e-01,4.429931640624999722e-02
1.722045898437500000e+00,-4.975585937500000000e-01,4.429931640624999722e-02
2.820874023437499822e+00,-9.858398437500000000e-01,4.429931640624999722e-02
2.820874023437499822e+00,-4.975585937500000000e-01,1.644409179687499889e-01
1.722045898437500000e+00,-9.858398437500000000e-01,1.644409179687499889e-01
1.370874023437500089e+00,5.024414062500000000e-01,5.192993164062499334e-01
2.720458984374999889e-01,5.024414062500000000e-01,5.192993164062499334e-01
1.370874023437500089e+00,1.416015625000000000e-02,5.192993164062499334e-01
1.370874023437500089e+00,5.024414062500000000e-01,6.394409179687500222e-01
2.720458984374999889e-01,1.416015625000000000e-02,6.394409179687500222e-01
1.008374023437500044e+00,-2.475585937500000000e-01,8.755493164062500000e-01
6.345458984374999778e-01,-2.475585937500000000e-01,8.755493164062500000e-01
1.008374023437500044e+00,2.641601562500000000e-01,8.755493164062500000e-01
1.008374023437500044e+00,-2.475585937500000000e-01,7.581909179687499334e-01
6.345458984374999778e-01,2.641601562500000000e-01,7.581909179687499334e-01
2.458374023437500000e+00,7.524414062500000000e-01,4.005493164062499667e-01
2.084545898437499822e+00,7.524414062500000000e-01,4.005493164062499667e-01
2.458374023437500000e+00,-7.358398437500000000e-01,4.005493164062499667e-01
2.458374023437500000e+00,7.524414062500000000e-01,2.831909179687500111e-01
2.084545898437499822e+00,-7.358398437500000000e-01,2.831909179687500111e-01
1.733374023437500133e+00,-7.475585937500000000e-01,6.380493164062499556e-01
1.359545898437499956e+00,-7.475585937500000000e-01,6.380493164062499556e-01
1.733374023437500133e+00,-2.358398437500000000e-01,6.380493164062499556e-01
1.733374023437500133e+00,-7.475585937500000000e-01,4.569091796874999445e-02
1.359545898437499956e+00,-2.358398437500000000e-01,4.569091796874999445e-02
2.833740234375000111e-01,2.524414062500000000e-01,1.630493164062500056e-01
2.809545898437499911e+00,2.524414062500000000e-01,1.630493164062500056e-01
2.833740234375000111e-01,7.641601562500000000e-01,1.630493164062500056e-01
2.833740234375000111e-01,2.524414062500000000e-01,5.206909179687500000e-01
2.809545898437499911e+00,7.641601562500000000e-01,5.206909179687500000e-01
3.739990234375000222e-01,-6.850585937500000000e-01,7.271118164062500000e-01
3.626708984375000000e-01,-6.850585937500000000e-01,7.271118164062500000e-01
3.739990234375000222e-01,-7.983398437500000000e-01,7.271118164062500000e-01
3.739990234375000222e-01,-6.850585937500000000e-01,2.535034179687499778e-01
3.626708984375000000e-01,-7.983398437500000000e-01,2.535034179687499778e-01
1.823999023437500089e+00,3.149414062500000000e-01,2.521118164062499667e-01
1.812670898437499956e+00,3.149414062500000000e-01,2.521118164062499667e-01
1.823999023437500089e+00,2.016601562500000000e-01,2.521118164062499667e-01
1.823999023437500089e+00,3.149414062500000000e-01,7.285034179687499556e-01
1.812670898437499956e+00,2.016601562500000000e-01,7.285034179687499556e-01
2.548999023437500178e+00,-1.850585937500000000e-01,4.896118164062499556e-01
1.087670898437500089e+00,-1.850585937500000000e-01,4.896118164062499556e-01
2.548999023437500178e+00,7.016601562500000000e-01,4.896118164062499556e-01
2.548999023437500178e+00,-1.850585937500000000e-01,4.910034179687499667e-01
1.087670898437500089e+00,7.016601562500000000e-01,4.910034179687499667e-01
1.098999023437500000e+00,8.149414062500000000e-01,1.461181640624999861e-02
2.537670898437499822e+00,8.149414062500000000e-01,1.461181640624999861e-02
1.098999023437500000e+00,-2.983398437500000000e-01,1.461181640624999861e-02
1.098999023437500000e+00,8.149414062500000000e-01,1.600341796874999931e-02
2.537670898437499822e+00,-2.983398437500000000e-01,1.600341796874999931e-02
1.461499023437500044e+00,-4.350585937500000000e-01,3.708618164062499889e-01
2.900170898437500089e+00,-4.350585937500000000e-01,3.708618164062499889e-01
1.461499023437500044e+00,-4.833984375000000000e-02,3.708618164062499889e-01
1.461499023437500044e+00,-4.350585937500000000e-01,3.722534179687500000e-01
2.900170898437500089e+00,-4.833984375000000000e-02,3.722534179687500000e-01
2.911499023437500000e+00,5.649414062500000000e-01,8.458618164062499112e-01
1.450170898437500133e+00,5.649414062500000000e-01,8.458618164062499112e-01
2.911499023437500000e+00,9.516601562500000000e-01,8.458618164062499112e-01
2.911499023437500000e+00,5.649414062500000000e-01,8.472534179687499778e-01
1.450170898437500133e+00,9.516601562500000000e-01,8.472534179687499778e-01
2.186499023437499911e+00,-9.350585937500000000e-01,1.333618164062500000e-01
2.175170898437500000e+00,-9.350585937500000000e-01,1.333618164062500000e-01
2.186499023437499911e+00,4.516601562500000000e-01,1.333618164062500000e-01
2.186499023437499911e+00,-9.350585937500000000e-01,6.097534179687499334e-01
2.175170898437500000e+00,4.516601562500000000e-01,6.097534179687499334e-01
7.364990234374999556e-01,6.494140625000000000e-02,6.083618164062499778e-01
7.251708984374999334e-01,6.494140625000000000e-02,6.083618164062499778e-01
7.364990234374999556e-01,-5.483398437500000000e-01,6.083618164062499778e-01
7.364990234374999556e-01,6.494140625000000000e-02,1.347534179687499833e-01
7.251708984374999334e-01,-5.483398437500000000e-01,1.347534179687499833e-01
5.552490234375000444e-01,-6.005859375000000000e-02,1.927368164062499833e-01
1.268920898437500000e+00,-6.005859375000000000e-02,1.927368164062499833e-01
5.552490234375000444e-01,7.666015625000000000e-02,1.927368164062499833e-01
5.552490234375000444e-01,-6.005859375000000000e-02,7.537841796875000000e-02
1.268920898437500000e+00,7.666015625000000000e-02,7.537841796875000000e-02
2.005249023437500000e+00,9.399414062500000000e-01,6.677368164062499334e-01
2.718920898437500178e+00,9.399414062500000000e-01,6.677368164062499334e-01
2.005249023437500000e+00,-9.233398437500000000e-01,6.677368164062499334e-01
2.005249023437500000e+00,9.399414062500000000e-01,5.503784179687499778e-01
2.718920898437500178e+00,-9.233398437500000000e-01,5.503784179687499778e-01
2.730249023437500089e+00,-5.600585937500000000e-01,4.302368164062500000e-01
5.439208984375000222e-01,-5.600585937500000000e-01,4.302368164062500000e-01
2.730249023437500089e+00,-4.233398437500000000e-01,4.302368164062500000e-01
2.730249023437500089e+00,-5.600585937500000000e-01,7.878784179687499112e-01
5.439208984375000222e-01,-4.233398437500000000e-01,7.878784179687499112e-01
1.280249023437500133e+00,4.399414062500000000e-01,9.052368164062499778e-01
1.993920898437500089e+00,4.399414062500000000e-01,9.052368164062499778e-01
1.280249023437500133e+00,5.766601562500000000e-01,9.052368164062499778e-01
1.280249023437500133e+00,4.399414062500000000e-01,3.128784179687499889e-01
1.993920898437500089e+00,5.766601562500000000e-01,3.128784179687499889e-01
9.177490234374999778e-01,-8.100585937500000000e-01,5.489868164062500222e-01
1.631420898437500044e+00,-8.100585937500000000e-01,5.489868164062500222e-01
9.177490234374999778e-01,8.266601562500000000e-01,5.489868164062500222e-01
9.177490234374999778e-01,-8.100585937500000000e-01,1.941284179687499944e-01
1.631420898437500044e+00,8.266601562500000000e-01,1.941284179687499944e-01
2.367749023437499822e+00,1.899414062500000000e-01,7.398681640625000278e-02
1.814208984375000056e-01,1.899414062500000000e-01,7.398681640625000278e-02
2.367749023437499822e+00,-1.733398437500000000e-01,7.398681640625000278e-02
2.367749023437499822e+00,1.899414062500000000e-01,6.691284179687500000e-01
1.814208984375000056e-01,-1.733398437500000000e-01,6.691284179687500000e-01
1.642749023437499956e+00,-3.100585937500000000e-01,7.864868164062499556e-01
2.356420898437499911e+00,-3.100585937500000000e-01,7.864868164062499556e-01
1.642749023437499956e+00,-6.733398437500000000e-01,7.864868164062499556e-01
1.642749023437499956e+00,-3.100585937500000000e-01,9.066284179687499334e-01
2.356420898437499911e+00,-6.733398437500000000e-01,9.066284179687499334e-01
1.927490234375000000e-01,6.899414062500000000e-01,3.114868164062499778e-01
9.064208984374999556e-01,6.899414062500000000e-01,3.114868164062499778e-01
1.927490234375000000e-01,3.266601562500000000e-01,3.114868164062499778e-01
1.927490234375000000e-01,6.899414062500000000e-01,4.316284179687499556e-01
9.064208984374999556e-01,3.266601562500000000e-01,4.316284179687499556e-01
2.380615234375000056e-01,-8.413085937500000000e-01,5.914306640625000000e-02
6.798583984374999556e-01,-8.413085937500000000e-01,5.914306640625000000e-02
2.380615234375000056e-01,-7.958984375000000000e-02,5.914306640625000000e-02
2.380615234375000056e-01,-8.413085937500000000e-01,2.980346679687500000e-01
6.798583984374999556e-01,-7.958984375000000000e-02,2.980346679687500000e-01
1.688061523437500044e+00,1.586914062500000000e-01,5.341430664062499778e-01
2.129858398437499911e+00,1.586914062500000000e-01,5.341430664062499778e-01
1.688061523437500044e+00,9.204101562500000000e-01,5.341430664062499778e-01
1.688061523437500044e+00,1.586914062500000000e-01,7.730346679687499778e-01
2.129858398437499911e+00,9.204101562500000000e-01,7.730346679687499778e-01
2.413061523437499911e+00,-3.413085937500000000e-01,2.966430664062499889e-01
1.404858398437500044e+00,-3.413085937500000000e-01,2.966430664062499889e-01
2.413061523437499911e+00,4.204101562500000000e-01,2.966430664062499889e-01
2.413061523437499911e+00,-3.413085937500000000e-01,5.355346679687499334e-01
1.404858398437500044e+00,4.204101562500000000e-01,5.355346679687499334e-01
9.630615234374999556e-01,6.586914062500000000e-01,7.716430664062499112e-01
2.854858398437500000e+00,6.586914062500000000e-01,7.716430664062499112e-01
9.630615234374999556e-01,-5.795898437500000000e-01,7.716430664062499112e-01
9.630615234374999556e-01,6.586914062500000000e-01,6.053466796874999722e-02
2.854858398437500000e+00,-5.795898437500000000e-01,6.053466796874999722e-02
1.325561523437500000e+00,-9.130859375000000000e-02,6.528930664062500000e-01
2.492358398437500178e+00,-9.130859375000000000e-02,6.528930664062500000e-01
1.325561523437500000e+00,-8.295898437500000000e-01,6.528930664062500000e-01
1.325561523437500000e+00,-9.130859375000000000e-02,4.167846679687499667e-01
2.492358398437500178e+00,-8.295898437500000000e-01,4.167846679687499667e-01
2.775561523437500178e+00,9.086914062500000000e-01,1.778930664062499944e-01
1.042358398437500000e+00,9.086914062500000000e-01,1.778930664062499944e-01
2.775561523437500178e+00,1.704101562500000000e-01,1.778930664062499944e-01
2.775561523437500178e+00,9.086914062500000000e-01,8.917846679687500000e-01
1.042358398437500000e+00,1.704101562500000000e-01,8.917846679687500000e-01
2.050561523437500089e+00,-5.913085937500000000e-01,8.903930664062499334e-01
1.767358398437500089e+00,-5.913085937500000000e-01,8.903930664062499334e-01
2.050561523437500089e+00,6.704101562500000000e-01,8.903930664062499334e-01
2.050561523437500089e+00,-5.913085937500000000e-01,6.542846679687499556e-01
1.767358398437500089e+00,6.704101562500000000e-01,6.542846679687499556e-01
6.005615234374999112e-01,4.086914062500000000e-01,4.153930664062499556e-01
3.173583984375000222e-01,4.086914062500000000e-01,4.153930664062499556e-01
6.005615234374999112e-01,-3.295898437500000000e-01,4.153930664062499556e-01
6.005615234374999112e-01,4.086914062500000000e-01,1.792846679687499778e-01
3.173583984375000222e-01,-3.295898437500000000e-01,1.792846679687499778e-01
7.818115234374999334e-01,-4.663085937500000000e-01,9.497680664062500000e-01
8.611083984374999778e-01,-4.663085937500000000e-01,9.497680664062500000e-01
7.818115234374999334e-01,7.954101562500000000e-01,9.497680664062500000e-01
7.818115234374999334e-01,-4.663085937500000000e-01,1.159667968750000000e-03
8.611083984374999778e-01,7.954101562500000000e-01,1.159667968750000000e-03
2.231811523437500000e+00,5.336914062500000000e-01,4.747680664062499667e-01
2.311108398437499822e+00,5.336914062500000000e-01,4.747680664062499667e-01
2.231811523437500000e+00,-2.045898437500000000e-01,4.747680664062499667e-01
2.231811523437500000e+00,5.336914062500000000e-01,4.761596679687499778e-01
2.311108398437499822e+00,-2.045898437500000000e-01,4.761596679687499778e-01
2.956811523437500089e+00,-9.663085937500000000e-01,7.122680664062499556e-01
1.361083984375000000e-01,-9.663085937500000000e-01,7.122680664062499556e-01
2.956811523437500089e+00,-7.045898437500000000e-01,7.122680664062499556e-01
2.956811523437500089e+00,-9.663085937500000000e-01,7.136596679687499112e-01
1.361083984375000000e-01,-7.045898437500000000e-01,7.136596679687499112e-01
1.506811523437500133e+00,3.369140625000000000e-02,2.372680664062499778e-01
1.586108398437499956e+00,3.369140625000000000e-02,2.372680664062499778e-01
1.506811523437500133e+00,2.954101562500000000e-01,2.372680664062499778e-01
1.506811523437500133e+00,3.369140625000000000e-02,2.386596679687499889e-01
1.586108398437499956e+00,2.954101562500000000e-01,2.386596679687499889e-01
1.144311523437500089e+00,-7.163085937500000000e-01,3.560180664062500000e-01
1.948608398437500000e+00,-7.163085937500000000e-01,3.560180664062500000e-01
1.144311523437500089e+00,4.541015625000000000e-02,3.560180664062500000e-01
1.144311523437500089e+00,-7.163085937500000000e-01,1.199096679687499944e-01
1.948608398437500000e+00,4.541015625000000000e-02,1.199096679687499944e-01
2.594311523437499822e+00,2.836914062500000000e-01,8.310180664062499778e-01
4.986083984375000444e-01,2.836914062500000000e-01,8.310180664062499778e-01
2.594311523437499822e+00,-9.545898437500000000e-01,8.310180664062499778e-01
